symbol,event_date,event_hour,era,stress_abs,variable,baseline,phi,lambda_per_h,half_life_h,r2,n_pairs,t_return_defined,t_return_h,censored,shock_excess
BTCUSDT,2021-01-02,447108,OTHER,False,activity_volume,3.7469668657017596,0.795706442028646,2.742299430951999,0.25276130415828324,0.6378974879683934,287,True,24.0,True,1.875870886093959
BTCUSDT,2021-01-02,447108,OTHER,False,activity_ntrades,4.7999057951649995,0.8697031444969224,1.6752400653829533,0.41375991112145144,0.7601264982851548,287,True,24.0,True,1.654689792966372
BTCUSDT,2021-01-02,447108,OTHER,False,realized_vol,2.3549797849450163,0.8529887484094751,1.9081070662521988,0.36326430147412414,0.7305168954537138,287,True,24.0,True,1.2349053459524564
BTCUSDT,2021-01-03,447136,OTHER,False,activity_volume,4.782791268438535,0.6215523036683839,5.706422573075212,0.12146790247018208,0.39144184133230486,287,True,2,False,0.6172786728554461
BTCUSDT,2021-01-03,447136,OTHER,False,activity_ntrades,5.87913438409017,0.7985124722187669,2.700056302667042,0.2567158247312374,0.6419815432023245,287,True,24.0,True,0.29688431421292855
BTCUSDT,2021-01-03,447136,OTHER,False,realized_vol,3.3357948282563052,0.5660495120078946,6.828884730709173,0.10150225225546641,0.32544794263549826,287,True,6,False,0.469484970197136
BTCUSDT,2021-01-04,447167,OTHER,True,activity_volume,4.761235301924705,0.44758312435470615,9.646716069230232,0.07185317527597301,0.2001489802752553,287,True,23,False,0.4484803023553081
BTCUSDT,2021-01-04,447167,OTHER,True,activity_ntrades,5.79452641267889,0.5667045215093348,6.8150068460832705,0.10170894853294414,0.3223384897940931,287,True,21,False,0.5936203226508979
BTCUSDT,2021-01-04,447167,OTHER,True,realized_vol,3.4385148892607553,0.17845656508985638,20.680920482431393,0.033516263512002736,0.03184421639908763,287,True,24.0,True,0.0014903297126482122
BTCUSDT,2021-01-06,447196,OTHER,False,activity_volume,4.4002947736451175,0.4783269095515553,8.849530428667746,0.07832587120267072,0.22428231953601396,287,True,24.0,True,0.01605008821257851
BTCUSDT,2021-01-06,447196,OTHER,False,activity_ntrades,5.657737013289736,0.48431129477698515,8.700328895814211,0.07966907790042549,0.2326222024715625,287,True,24.0,True,0.0894605744904357
BTCUSDT,2021-01-06,447196,OTHER,False,realized_vol,3.4165039126415184,0.1397480453571685,23.61496984506628,0.029352024800690563,0.019563075042155376,287,True,24.0,True,0.09438074915050176
BTCUSDT,2021-01-08,447242,OTHER,True,activity_volume,4.342726884594594,0.6081560417190681,5.967885388560787,0.11614619508085164,0.37283584849369833,287,True,24.0,True,0.016510524322586078
BTCUSDT,2021-01-08,447242,OTHER,True,activity_ntrades,5.796053131422335,0.6381502598518018,5.3901780762963645,0.12859448625790346,0.4102589259556776,287,True,20,False,0.11430663942282841
BTCUSDT,2021-01-08,447242,OTHER,True,realized_vol,3.3801530474815693,0.42744798741942946,10.199071978349643,0.06796178927174377,0.1847716300469321,287,True,6,False,0.42461242699006174
BTCUSDT,2021-01-10,447299,OTHER,False,activity_volume,3.9180843683926474,0.8764465875826083,1.5825541772969107,0.4379927022428254,0.764318162816159,287,True,12,False,0.887906772019189
BTCUSDT,2021-01-10,447299,OTHER,False,activity_ntrades,5.702113024023443,0.867612843426167,1.7041163609186458,0.4067487387928646,0.7530670773482364,287,True,2,False,0.5286372900574569
